"Combination_1","Combination_2","Combination_3","Combination_4","Combination_5","Combination_6","Combination_7","Combination_8","Combination_9","Combination_10"
98,136,96,104,110,78,72,56,72,68
90,116,96,118,110,72,100,56,64,70
104,104,108,104,110,66,64,56,64,68
144,152,104,148,110,52,52,56,80,68
90,90,128,112,110,76,52,108,74,68
130,90,124,104,110,46,52,82,64,68
94,90,102,130,110,46,52,74,64,74
90,90,100,124,114,52,52,76,64,100
108,96,120,104,110,46,54,56,64,68
84,90,132,122,110,66,52,60,64,68
102,142,96,104,110,46,56,64,64,68
82,90,96,150,110,64,86,84,64,68
92,90,96,126,110,62,76,60,72,68
110,106,108,104,110,72,64,76,64,68
112,90,104,104,110,64,52,86,74,68
90,90,96,116,110,62,60,58,64,68
98,90,96,116,128,72,58,56,64,86
100,90,96,124,114,60,78,70,64,68
82,118,110,104,128,56,84,56,64,68
86,90,118,104,110,74,74,56,64,82
106,108,96,104,154,50,64,56,64,68
106,98,96,106,110,46,80,56,64,68
94,92,136,104,114,84,72,88,64,68
120,90,110,104,110,46,56,60,64,68
128,110,96,104,110,98,62,56,64,70
82,90,140,104,120,68,70,56,64,68
120,92,96,104,110,76,66,56,68,68
114,178,120,104,110,60,60,60,68,76
86,108,112,104,110,46,92,68,68,68
94,90,96,104,110,46,74,56,74,70
130,90,122,104,110,46,58,56,64,68
82,100,96,104,110,66,52,56,64,68
122,90,98,104,110,46,66,56,68,72
102,130,96,108,114,86,108,66,64,68
82,90,96,104,110,70,82,56,64,68
106,90,102,146,110,62,58,60,64,68
82,90,120,104,118,46,80,56,64,68
82,116,96,128,138,46,52,88,64,80
88,90,108,104,110,54,52,72,72,74
90,104,96,104,122,70,56,60,94,68
98,90,96,104,110,46,76,68,72,78
120,90,96,104,110,86,52,66,64,68
82,108,100,142,110,46,78,60,64,68
94,90,132,106,110,72,68,64,64,68
102,122,96,106,110,46,84,56,64,68
108,102,96,104,118,46,66,88,70,68
112,90,112,104,110,46,52,62,64,90
106,94,96,158,110,114,52,56,64,68
86,90,96,104,140,50,64,56,72,92
116,114,116,104,110,46,60,76,64,68
106,136,96,132,114,46,68,56,78,68
96,100,102,104,110,98,82,62,88,68
82,116,96,104,110,68,52,56,64,68
82,114,134,104,110,46,52,78,68,68
82,100,96,106,110,66,52,58,64,68
108,90,96,104,110,46,68,60,64,68
148,90,96,104,116,46,64,74,64,76
82,90,96,128,110,62,82,68,64,68
108,112,96,120,124,46,68,56,64,68
82,90,96,132,110,46,52,56,64,68
116,122,122,104,110,46,66,86,64,68
82,90,104,104,116,50,68,74,64,68
116,100,104,126,110,82,138,56,64,68
96,132,112,104,110,46,104,88,64,68
116,106,116,104,110,46,58,62,64,68
82,90,104,106,124,46,68,56,64,68
88,90,96,106,110,76,66,56,64,68
82,112,100,104,110,56,64,90,64,70
110,108,108,104,122,60,96,68,64,68
114,90,96,104,110,52,60,60,66,68
82,144,116,104,110,60,62,56,64,80
82,112,106,128,110,60,56,64,64,68
82,90,96,104,110,56,66,56,78,68
112,120,108,104,154,46,58,66,90,68
88,102,104,134,110,52,56,56,64,68
126,120,100,104,110,46,64,92,66,68
82,104,96,104,110,46,92,56,64,68
114,90,96,114,110,84,64,60,64,68
92,140,106,104,110,56,104,56,64,68
88,90,108,104,110,68,58,56,76,72
94,118,96,104,110,68,88,72,76,68
86,90,96,104,110,46,56,56,64,84
104,106,160,104,110,80,52,60,64,84
82,120,96,104,110,46,52,68,64,68
82,102,106,104,110,58,92,84,64,72
124,90,102,110,110,46,64,56,64,68
114,106,96,104,110,66,90,68,64,68
112,126,162,104,110,50,72,78,64,68
134,96,104,104,110,46,56,56,72,94
82,98,120,136,110,56,72,80,64,68
92,124,114,104,116,46,52,60,64,68
82,108,100,104,118,72,66,60,64,88
94,90,110,104,110,102,54,56,64,68
82,116,100,104,114,62,68,56,88,68
96,90,110,126,110,52,52,56,68,112
104,90,112,104,110,52,68,56,64,68
82,94,104,116,110,60,52,56,98,72
82,90,96,104,110,46,52,56,64,78
128,118,100,108,110,88,64,68,72,68
138,112,96,104,110,62,70,68,66,68
88,116,100,134,118,82,68,56,64,68
152,90,96,104,124,46,64,56,64,68
106,90,96,104,110,60,64,64,64,68
96,108,96,108,126,52,52,56,64,68
128,98,96,104,110,56,52,56,64,94
92,130,96,106,110,74,56,94,90,68
98,90,96,104,118,96,62,56,64,68
82,108,136,154,144,66,52,68,88,68
82,114,96,104,110,52,78,68,64,68
86,102,96,104,110,54,52,58,64,74
96,128,112,104,110,70,58,60,64,68
108,114,100,104,114,68,52,78,88,70
86,116,108,104,126,68,58,64,64,68
104,100,98,120,110,102,68,56,64,96
92,110,96,104,110,80,64,56,72,68
108,92,118,104,116,76,56,68,64,68
82,90,96,104,142,72,52,56,68,84
82,112,128,104,110,68,52,66,92,68
102,90,96,104,110,46,58,80,64,68
84,116,112,118,110,64,86,78,64,72
82,90,96,104,110,74,52,56,64,74
94,90,110,114,110,76,52,56,64,68
82,122,96,114,110,64,54,72,64,68
